Stiklo tipas:;Gravera kaina (eu):;Maristika kaina (eu);Kraðtiniø apdirbimo tipas:;Kraðtiniø apdirbimo kaina (Gravera);Kraðtiniø apdirbimo kaina (Maristika)
Skaidrus stiklas (4.4.2st 2 GR) grûdintas;N;42;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Pilkai tonuotas, stiklas(4.4.2st 2pilk) grûdintas;N;61;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Rudai tonuotas, stiklas(4.4.2st 2rud) grûdintas;N;61;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas, su mat plëvele(4.4.2st 2mat)  grûdintas;N;55;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas (5.5.2st 2) grûdintas;N;49;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas, su mat plëvele(5.5.2st 2 mat)  grûdintas;N;60;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Pilkai tonuotas,  stiklas(5.5.2st 2 pilk) grûdintas;N;71;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Rudai tonuotas,  stiklas(5.5.2st 2 rud) grûdintas;N;71;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas (6.6.2st 2)  grûdintas;N;55;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Pilkai tonuotas,  stiklas(6.6.2st 2pilk) grûdintas;N;80;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Rudai tonuotas,  stiklas(6.6.2st 2rud) grûdintas;N;80;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
Skaidrus stiklas,  su mat plëvele(6.6.2st 2mat) grûdintas;N;62;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 4mm gr) grûdintas;22,11;19,4;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 6mm ) grûdintas;29,7;27,1;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 8mm ) grûdintas;40,15;37,1;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
 Matinis, (Matinis 10mm ) grûdintas;50,19;50,7;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
4mm tonuotas  Dark GREY (grûdintas);25,64;;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
6mm tonuotas Dark GREY (grûdintas);N;36,5;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
8mm tonuotas Dark GREY (grûdintas);55,97;52,65;"Bukintas;Ðlifuota;Poliruota";"0;0;0";"0;0;0"
4  skaidrus (negrûdintas);9,19;8,5;"Bukintas;Ðlifuota;Poliruota";"0.20;0.51;0.73";"0.16;0.35;0.58"
5  skaidrus (negrûdintas);12,39;N;"Bukintas;Ðlifuota;Poliruota";"0.24;0.54;0.8";"0.19;0.41;0.64"
6  skaidrus (negrûdintas);14,02;N;"Bukintas;Ðlifuota;Poliruota";"0.25;0.61;0.96";"0.2;0.52;0.72"
8  skaidrus (negrûdintas);20,34;N;"Bukintas;Ðlifuota;Poliruota";"0.29;1.01;1.63";"0.23;1.04;1.33"
10  skaidrus (negrûdintas);27,15;N;"Bukintas;Ðlifuota;Poliruota";"0.4;1.45;2.1";"0.32;1.391.68"
12  skaidrus (negrûdintas);38,73;N;"Bukintas;Ðlifuota;Poliruota";"2.18;2.18;2.71";"1.88;1.88;2.17"
4mm tonuotas (negrûdintas);16,09;16,7;"Bukintas;Ðlifuota;Poliruota";"0.20;0.51;0.73";"0.16;0.35;0.58"
5mm tonuotas (negrûdintas);20,44;21,2;"Bukintas;Ðlifuota;Poliruota";"0.24;0.54;0.8";"0.19;0.41;0.64"
6mm tonuotas (negrûdintas);24,48;N;"Bukintas;Ðlifuota;Poliruota";"0.25;0.61;0.96";"0.2;0.52;0.72"
8mm tonuotas (negrûdintas);33,56;N;"Bukintas;Ðlifuota;Poliruota";"0.29;1.01;1.63";"0.23;1.04;1.33"
10mm tonuotas (negrûdintas);42,29;N;"Bukintas;Ðlifuota;Poliruota";"0.4;1.45;2.1";"0.32;1.391.68"
